velocidad: 0, lastAng: -620.820618, currentAng: -621.082397, refVal: 5.000000, kp: 5.000000, kd: 0.000000, ki: 2.000000
velocidad: 4.165383, lastAng: -4868.777344, currentAng: -4869.039062, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.328579, lastAng: -4896.224609, currentAng: -4896.496582, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.336350, lastAng: -4923.671387, currentAng: -4923.943848, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 5.004677, lastAng: -4951.280762, currentAng: -4951.595215, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.165383, lastAng: -4978.921875, currentAng: -4979.183594, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.414063, lastAng: -5006.447266, currentAng: -5006.724609, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.079900, lastAng: -5034.041016, currentAng: -5034.297363, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.250867, lastAng: -5061.676270, currentAng: -5061.943359, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.250867, lastAng: -5089.181152, currentAng: -5089.448242, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.165383, lastAng: -5116.916016, currentAng: -5117.177734, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.670514, lastAng: -5144.410156, currentAng: -5144.703613, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.079900, lastAng: -5171.862793, currentAng: -5172.119141, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.748226, lastAng: -5199.482422, currentAng: -5199.780762, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.414063, lastAng: -5227.112793, currentAng: -5227.390137, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.911422, lastAng: -5254.764160, currentAng: -5255.072754, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.250867, lastAng: -5282.268555, currentAng: -5282.535645, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 3.916704, lastAng: -5309.752441, currentAng: -5309.998535, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.079900, lastAng: -5337.262207, currentAng: -5337.518555, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.079900, lastAng: -5364.782715, currentAng: -5365.039062, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.300000
velocidad: 4.577259, lastAng: -5392.376465, currentAng: -5392.664062, refVal: 5.000000, kp: 6.000000, kd: 2.000000, ki: 0.30000
